ID_REF,FC,Gene Symbol
212768_s_at,1.1950694186666677,OLFM4
206676_at,0.7760267777291725,CEACAM8
231688_at,0.7258052322916662,MMP8
202018_s_at,0.6807878483854166,LTF
212531_at,0.6591447464166666,LCN2
206371_at,0.6455297783750016,FOLR3
207269_at,0.5985511732395876,DEFA4
209728_at,0.5980198561354158,HLA-DRB4
237023_at,0.5660495131562477,
206177_s_at,0.5569850569583306,ARG1
215652_at,0.5548016225104169,SDHD
205557_at,0.5243918435833379,BPI /// LOC149684
223796_at,0.5064670860624965,CNTNAP3 /// CNTNAP3B /// CNTNAP3P2
228285_at,0.5029615691249987,TDRD9
211657_at,0.502520507499999,CEACAM6
207815_at,0.472208710343752,PF4V1
205033_s_at,0.4676742987499978,DEFA1 /// DEFA1B /// DEFA3
226303_at,0.4608300435625008,PGM5
207802_at,0.45319117852083135,CRISP3
1562337_at,0.4524172528645831,OR7D2
204751_x_at,0.4491498999791679,DSC2
206851_at,0.44822295209375085,RNASE3
244065_at,0.4471823640104162,CNTNAP3 /// CNTNAP3B
226733_at,0.43992970356250183,PFKFB2
206157_at,0.438773811885417,PTX3
213817_at,0.4344615423437457,IRAK3
202620_s_at,0.4342578206249992,PLOD2
231600_at,0.43104295507292,CLEC12B
224996_at,0.4235155611770862,ASPH
203757_s_at,0.41954885842708123,CEACAM6
207808_s_at,0.4172965860312514,PROS1
207329_at,0.41165214656249915,MMP8
226817_at,0.40914576880207765,DSC2
1558795_at,0.40406646876041474,RP3-525N10.2
227762_at,0.3972626716145822,
206237_s_at,0.39708243458333214,NRG1
235408_x_at,0.3932061685000017,ZNF117
200986_at,0.39057141464582923,SERPING1
206697_s_at,0.3903416924375023,HP
201108_s_at,0.3887226671458368,THBS1
202437_s_at,0.38786468970833177,CYP1B1
202381_at,0.38755444295833286,ADAM9
202411_at,0.38592226813541863,IFI27
213797_at,0.3839010134375025,RSAD2
236013_at,0.37983856312499853,CACNA1E
209409_at,0.37846730786457883,GRB10
202729_s_at,0.37844223839582813,LTBP1
202286_s_at,0.3772728506666678,TACSTD2
204140_at,0.3769099260729156,TPST1
208426_x_at,0.37662271427083294,KIR2DL4
225056_at,0.372674231572919,SIPA1L2
1555928_at,0.3722179053645833,
215666_at,0.36804458024999986,HLA-DRB4
210999_s_at,0.3675907069375022,GRB10
205513_at,0.36738798285416685,TCN1
231672_at,0.3662133910520815,LOC100653086
226702_at,0.3659768283541629,CMPK2
235740_at,0.3654651823958339,MCTP1
219890_at,0.36421209715625125,CLEC5A
224225_s_at,0.36414024062499983,ETV7
217889_s_at,0.3635458266979166,CYBRD1
210896_s_at,0.36289851592708455,ASPH
215555_at,0.3627842336666731,
221802_s_at,0.3611412534791629,KIAA1598
209410_s_at,0.3594611757291677,GRB10
205003_at,0.3585370116354145,DOCK4
204614_at,0.35621334329166654,SERPINB2
236407_at,0.354667755708336,KCNE1
215819_s_at,0.35238331839583203,RHCE /// RHD
205336_at,0.3520968656562484,PVALB
204627_s_at,0.35130242620833396,ITGB3
230559_x_at,0.34852275064583793,FGD4
228439_at,0.3478861743958328,BATF2
224856_at,0.34752608347917047,FKBP5
241420_at,0.34739523073958356,
222139_at,0.3454718461562507,ERV3-2
204720_s_at,0.34426164120833347,DNAJC6
240095_at,0.34317238985416676,
219410_at,0.34135386508333365,TMEM45A
1558404_at,0.34022149843749894,LINC00622
205767_at,0.3399294242708333,EREG
206254_at,0.33938626491666746,EGF
236166_at,0.339314074947918,LOC285147
239196_at,0.33921463218749937,ANKRD22
209992_at,0.3392092564166669,PFKFB2
206493_at,0.3388188235208309,ITGA2B
206494_s_at,0.33855021172916366,ITGA2B
209135_at,0.33817686345833575,ASPH
218865_at,0.33815449695833166,MARC1
209616_s_at,0.3381315556979194,CES1 /// LOC100653057
225016_at,0.33697559220833284,APCDD1
227798_at,0.33363840081250107,SMAD1
1554010_at,0.3333099488541649,NDST1
206026_s_at,0.3310138372604179,TNFAIP6
1561780_at,0.327727520499999,
207674_at,0.3269402807395876,FCAR
220416_at,0.3265660665729193,ATP8B4
235274_at,0.32597161895833704,GABPB1-AS1
225406_at,0.3250517081354136,TWSG1
213201_s_at,0.32499181230208585,TNNT1
212741_at,0.32348302787499916,MAOA
204351_at,0.3227538968958328,S100P
220034_at,0.3206832332708318,IRAK3
237299_at,0.31864253159374467,NARF
206714_at,0.31841672943750066,ALOX15B
212793_at,0.31672699794791725,DAAM2
1552773_at,0.3142057763437549,CLEC4D
203290_at,0.3139487164270811,HLA-DQA1
227140_at,0.31328753368749984,INHBA
231357_at,0.31251257029166846,CLEC12B
229543_at,0.3122368469479113,RP1-93H18.6
208470_s_at,0.3119696002604204,HP /// HPR
203949_at,0.3108712870520822,MPO
235798_at,0.31086557411458404,TMEM170B
205844_at,0.3105278113958363,VNN1
201110_s_at,0.31032682572916315,THBS1
204619_s_at,0.3090172250833323,VCAN
220330_s_at,0.3089362086041634,SAMSN1
236901_at,0.3082199064270821,
212077_at,0.3072912117812523,CALD1
1565162_s_at,0.3059650630416684,MGST1
214021_x_at,0.30518651146875353,ITGB5
235949_at,0.3046233721875007,TTC26
214453_s_at,0.3040385510624981,IFI44
1569401_at,0.303808773260414,CLEC12A
242094_at,0.3021524987812505,
226925_at,0.30135879362499907,PXYLP1
214059_at,0.30126932839583365,IFI44
206618_at,0.30075504515624907,IL18R1
208791_at,0.30012857718750574,CLU
218418_s_at,0.2998223745937496,KANK2
205027_s_at,0.2993510987916643,MAP3K8
219669_at,0.2979451406041669,CD177
203153_at,0.29788311161458303,IFIT1
203936_s_at,0.29760859700000175,MMP9
223660_at,0.29754254384375045,ADORA3
240435_at,0.2961729240416666,LOC101928635
238513_at,0.2961393516874997,PRRG4
227038_at,0.29566330167708177,SGMS2
220637_at,0.29538176331249844,FAM124B
228152_s_at,0.2946746304374983,DDX60L
1558549_s_at,0.2945405302187494,VNN1
213258_at,0.2943688370625015,TFPI
203645_s_at,0.29393394457291677,CD163
201295_s_at,0.293499710635416,WSB1
208116_s_at,0.2933875770416652,MAN1A1
1553869_at,0.29331885273958536,SESN3
228937_at,0.2917049520833306,LACC1
201785_at,0.2908146884999985,RNASE1
225847_at,0.290388566749999,NCEH1
210586_x_at,0.2901468514479193,RHD
223204_at,0.2900233424166707,FAM198B
223393_s_at,0.2899522592812538,TSHZ3
236089_at,0.2899131920520821,HECW2
226364_at,0.2879533289062497,HIP1
230267_at,0.28775439223958,RP11-173M1.8
227703_s_at,0.2871496069895825,SYTL4
210430_x_at,0.28678463510416563,RHD
215049_x_at,0.28656615508333516,CD163
213397_x_at,0.28476927413541553,RNASE4
206481_s_at,0.2832217780416677,LDB2
212651_at,0.282245919552083,RHOBTB1
203021_at,0.2818807682291675,SLPI
227012_at,0.28185679128124885,SLC25A40
227475_at,0.2816736605833312,FOXQ1
216956_s_at,0.2816690232604193,ITGA2B
243106_at,0.2810608967187527,CLEC12A
204068_at,0.2810606207291686,STK3
242794_at,0.28090736865625576,MAML3
220384_at,0.28085632976041364,NME8
