ID_REF,FC,Gene Symbol
219669_at,0.9335284290937507,CD177
212531_at,0.9047847557499988,LCN2
206177_s_at,0.8851686307812505,ARG1
220532_s_at,0.8828402380312514,TMEM176B
207269_at,0.8702097976562495,DEFA4
239591_at,0.8314963061562493,
207329_at,0.824654883,MMP8
207802_at,0.8224472569999994,CRISP3
231688_at,0.8171878272500006,MMP8
203757_s_at,0.7804101430000001,CEACAM6
206697_s_at,0.7707173785312476,HP
235818_at,0.7551577906875,VSTM1
211657_at,0.7470697467812499,CEACAM6
206676_at,0.7469468788749989,CEACAM8
202018_s_at,0.736185210124999,LTF
218345_at,0.7277814364374979,TMEM176A
220281_at,0.7014275090312507,SLC12A1
222945_x_at,0.6814365277812504,OLAH
205557_at,0.6639580525624984,BPI /// LOC149684
207384_at,0.6557072020937493,PGLYRP1
1556896_at,0.6541687179062503,LINC01270
242961_x_at,0.6530578964062492,DDX58
223432_at,0.6419985494687497,OSBP2
205900_at,0.6370201984062502,KRT1
206834_at,0.6280845108437543,HBD
210262_at,0.6254609029374998,CRISP2
1552713_a_at,0.6248860173124999,SLC4A1
1560068_a_at,0.6233248279062495,LOC729870
231828_at,0.6227667103437495,PSMD5-AS1
204351_at,0.6100623956874998,S100P
228214_at,0.6066275241875001,SOX6
210244_at,0.6063201862187517,CAMP
223767_at,0.5960116120312522,GPR84
210004_at,0.5951660275937503,OLR1
208470_s_at,0.5921093328125018,HP /// HPR
1563975_at,0.5829713749375003,RNF130
211560_s_at,0.5817104108750009,ALAS2
203115_at,0.5805561347499992,FECH
233267_at,0.5765787910624987,
219672_at,0.5733303848125022,AHSP
205856_at,0.5721489335937529,SLC14A1
237826_at,0.5706496177812506,
220000_at,0.5683626130937487,SIGLEC5
213032_at,0.5595325741874992,NFIB
218055_s_at,0.5581022568750011,WDR41
1560049_at,0.5551173935625018,
1565811_at,0.5546104865000014,
223796_at,0.543806875031251,CNTNAP3 /// CNTNAP3B /// CNTNAP3P2
205513_at,0.5425649892500006,TCN1
228802_at,0.5417799393750009,RBPMS2
41469_at,0.5376983623125025,PI3
205592_at,0.5357212004062504,SLC4A1
236660_at,0.5349257432187509,
48031_r_at,0.5342596200937493,FAXDC2
237299_at,0.5298723175000006,NARF
210504_at,0.5283971327187507,KLF1
214407_x_at,0.5265666429375031,GYPB
214433_s_at,0.5263826410937487,SELENBP1
205003_at,0.5255326608437496,DOCK4
206004_at,0.5219802758437497,TGM3
212816_s_at,0.5202479311250006,CBS
227250_at,0.5200863060625016,KREMEN1
231886_at,0.5194122239062491,LOC100134822
207459_x_at,0.5173416335312506,GYPB
212768_s_at,0.5168469353124996,OLFM4
230354_at,0.5156579394687508,
203691_at,0.5152345179062525,PI3
1553605_a_at,0.51235528196875,ABCA13
203502_at,0.5055574150625004,BPGM
205040_at,0.5052139775625006,ORM1
205950_s_at,0.5051258938437488,CA1
1558754_at,0.5031481730937513,ZNF763
238789_at,0.5023076590625006,KANK1
212445_s_at,0.5008716380312483,NEDD4L
221747_at,0.5007916343125007,TNS1
228176_at,0.5004417829062486,S1PR3
226811_at,0.4998958985312534,FAM46C
237340_at,0.49832204084374965,SLC26A8
209081_s_at,0.49239125212499957,COL18A1
221748_s_at,0.4898883890625001,TNS1
1569666_s_at,0.48423649428124804,
205863_at,0.48279274149999907,S100A12
203559_s_at,0.47854003324999983,AOC1
223670_s_at,0.4781755499999978,HEMGN
239412_at,0.47799780587499896,IRF5
238370_x_at,0.4773710033437504,
223669_at,0.4745339136562503,HEMGN
206871_at,0.47209429156249927,ELANE
1569665_at,0.47112870928124995,
1559756_at,0.47059353387499847,DKFZp667F0711
206209_s_at,0.46934086837499933,CA4
204141_at,0.468871643687498,TUBB2A
211821_x_at,0.46652516653125176,GYPA
204187_at,0.46578976906249814,GMPR
231122_x_at,0.4646842679062484,ZDHHC19
203289_s_at,0.45972460637499957,NPRL3
203116_s_at,0.45924215449999917,FECH
205033_s_at,0.458387931499999,DEFA1 /// DEFA1B /// DEFA3
207674_at,0.45798699984375,FCAR
228285_at,0.45789093121875,TDRD9
239373_at,0.4567925741562511,
228205_at,0.45584865746875014,TKT
220751_s_at,0.45479079556250035,FAXDC2
1570607_at,0.45393649699999816,
1565978_a_at,0.4521468011562506,
211413_s_at,0.45171114734375006,PADI4
216833_x_at,0.45027688493749984,GYPB
206698_at,0.4500798808437487,XK
242281_at,0.44891269112500076,GLUL
203936_s_at,0.44864097981249884,MMP9
214121_x_at,0.4476365268437519,PDLIM7
220421_at,0.4468191539375015,BTNL8
204714_s_at,0.4441601466249985,F5
216398_at,0.44394457884374816,GYPB
220001_at,0.44248744987499933,PADI4
222639_s_at,0.44179489931249805,LOC101928290 /// LOC101928317
242319_at,0.441603713187499,DGKG
224393_s_at,0.44064616909375065,CECR6
205426_s_at,0.4385735489062501,HIP1
204713_s_at,0.4370934889375011,F5
235512_at,0.4368476104062511,CDKL1
227140_at,0.43559514406250033,INHBA
234492_at,0.4345456719062506,
212805_at,0.4342265059687498,PRUNE2
1552583_s_at,0.43420064631249744,ABCC13
232079_s_at,0.4334504404062498,PVRL2
203021_at,0.4332905547500019,SLPI
214273_x_at,0.432124595000003,NPRL3
1562638_at,0.4312717697812505,LOC339874
226403_at,0.4305175436249984,TMC4
202201_at,0.42805458462500034,BLVRB
1569609_at,0.42803736021874883,AC092192.1
213201_s_at,0.4270119949999982,TNNT1
229309_at,0.4269749937499987,ADRB1
203628_at,0.4266646099375002,IGF1R
1552755_at,0.42604229453125075,C9orf66
237056_at,0.4260090519999995,INSC
232953_at,0.4252062079687473,LINC00266-1
221627_at,0.4227444922500023,TRIM10
1554892_a_at,0.4225065164999995,MS4A3
231310_at,0.42090734990624945,TRIM71
212262_at,0.41983689809375235,QKI
231597_x_at,0.41856599640625003,
224790_at,0.41792311878125066,ASAP1
218644_at,0.41788264846875034,PLEK2
213120_at,0.4171726497812509,UHRF1BP1L
231600_at,0.4170658294687506,CLEC12B
226364_at,0.41624437034375106,HIP1
206841_at,0.4159175286874994,PDE6H
1560800_at,0.41520908084374897,
1569664_at,0.4135632375,
1554503_a_at,0.41222412396875185,OSCAR
210942_s_at,0.41178382706250005,ST3GAL6
221491_x_at,0.41064070953124965,HLA-DQB1 /// HLA-DRB1 /// HLA-DRB3 /// HLA-DRB4 /// HLA-DRB5 /// HLA-DRB6 /// LOC100996809 /// LOC101060835
203949_at,0.4104602511875006,MPO
233312_at,0.4101036191875016,ROPN1L
207205_at,0.409885865062499,CEACAM4
217735_s_at,0.40909137309375065,EIF2AK1
226322_at,0.4087050772499996,TMTC1
205041_s_at,0.40836761646874997,ORM1 /// ORM2
1557924_s_at,0.40478267368749954,ALPL
209735_at,0.40369600771874836,ABCG2
205390_s_at,0.40280919915624747,ANK1
205389_s_at,0.40187974984374897,ANK1
206237_s_at,0.4014846990625003,NRG1
1569886_a_at,0.4010148395312494,GLB1L3
1553604_at,0.4007767470937482,ABCA13
221695_s_at,0.40048241965624864,MAP3K2
230323_s_at,0.3999461297500009,TMEM45B
228758_at,0.3993839129375001,BCL6
235582_at,0.39912347115625035,E2F2
235949_at,0.39866946874999964,TTC26
231662_at,0.3981457444687502,ARG1
201042_at,0.3968988536249993,TGM2
236399_at,0.3966107048125007,RP11-443B7.1
241881_at,0.3963553602500003,TRIM58
227297_at,0.3958530524687527,ITGA9
206208_at,0.39512975096874836,CA4
201058_s_at,0.395029576218751,MYL9
206204_at,0.3945698646875,GRB14
209930_s_at,0.393616279718751,NFE2
224216_at,0.39310853896874765,
1565895_at,0.3916765868750005,
239647_at,0.3916369373437485,CHST13
205425_at,0.39130553287500014,HIP1
216388_s_at,0.3907704218749988,LTB4R
223609_at,0.39034588962500116,ROPN1L
244349_at,0.3894219460624999,
232034_at,0.3882933542187512,LINC00537
238446_at,0.38817184171874874,NAIP
207808_s_at,0.3881576395312498,PROS1
235380_at,0.3880896015624966,
235683_at,0.3880333087500025,SESN3
241652_x_at,0.38752521896874903,LIN7A
210254_at,0.38720455296875134,MS4A3
1570135_at,0.3871642014062502,ZNF230
215435_at,0.3870097494375013,
239021_at,0.38689151584375203,TLR6
204861_s_at,0.38687586431249876,NAIP
203961_at,0.3867767074374995,NEBL
219786_at,0.38658671681250123,MTL5
209410_s_at,0.38654963524999886,GRB10
236113_at,0.3865486400937499,
211102_s_at,0.38635379662500124,LILRA2
1554053_at,0.3862629616874993,SPTLC1
236013_at,0.38581941125000174,CACNA1E
231249_at,0.38483800421874914,SZT2
